CodFrota;descricao_especialidade
68037;UTILITARIO - OFICINA
46107;CAMINHAO - BOMBEIRO
46006;VEICULO - COLABORADORES / PARCEIROS
62211;TRATOR - AGRICOLA
62212;TRATOR - AGRICOLA
62213;TRATOR - AGRICOLA
66112;IMPLEMENTO - JARDINAGEM
60549;CAMINHAO - CANAVIEIRO
46125;ONIBUS - TRANSPORTE PESSOAL
46126;ONIBUS - TRANSPORTE PESSOAL
47218;EQUIPAMENTO IRRIG - MOTOR GERADOR
46161;ONIBUS - TRANSPORTE PESSOAL
46162;CAMINHAO - TRANSP. ACUCAR
60262;MOTOCICLETA - ASSISTENCIA
60551;CAMINHAO - CANAVIEIRO
46163;ONIBUS - TRANSPORTE PESSOAL
66113;IMPLEMENTO - DIVERSOS
46164;CAMINHAO - CACAMBA
46524;TRATOR - AGRICOLA
46525;TRATOR - AGRICOLA
46921;MAQUINA PESADA - PA CARREGADEIRA
47304;IMPLEMENTO - DISTRIBUIDOR CORRETIVO
47305;IMPLEMENTO - DISTRIBUIDOR CORRETIVO
67000;DRONE - APLICACAO AEREA
62214;TRATOR - AGRICOLA
66114;IMPLEMENTO - DIVERSOS
66115;IMPLEMENTO - DIVERSOS
47219;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
66116;IMPLEMENTO - DIVERSOS
65708;EQUIPAMENTO IRRIG - MOTOR GERADOR
65709;EQUIPAMENTO IRRIG - MOTOR GERADOR
67001;DRONE - APLICACAO AEREA
65533;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65534;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65535;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
47306;CAMINHAO - TRANSP. TUBO
65536;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65537;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
62220;TRATOR - TRANSBORDO
62222;TRATOR - TRANSBORDO
60264;MOTOCICLETA - ASSISTENCIA
63354;REBOQUE - TRANSBORDO
63355;REBOQUE - TRANSBORDO
63356;REBOQUE - TRANSBORDO
63357;REBOQUE - TRANSBORDO
63358;REBOQUE - TRANSBORDO
63359;REBOQUE - TRANSBORDO
